               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090218,             0.14827,            0.016231,             0.59761,            0.014624,            0.010863,           0.0024808,            0.070626,            0.056485,             0.01629,              0.0793,              0.0023,              0.0023
                   1,            0.086404,             0.13994,            0.010698,             0.53461,            0.032962,            0.012461,           0.0027469,            0.070021,            0.054967,            0.012886,            0.057684,           0.0046845,           0.0046845
                   2,            0.084128,             0.16761,           0.0085705,             0.16313,             0.21464,            0.095421,            0.019265,            0.063249,            0.043196,            0.016748,            0.036053,           0.0070531,           0.0070531
                   3,            0.079937,             0.20205,            0.012062,             0.20442,             0.22425,             0.14859,            0.037403,            0.059424,            0.039103,             0.01108,            0.014406,           0.0094059,           0.0094059
                   4,            0.081333,              0.1738,            0.010665,            0.099437,             0.13323,            0.034372,           0.0070642,            0.064011,            0.045116,             0.01363,            0.009868,            0.009868,            0.009868
                   5,            0.074596,             0.17565,           0.0099352,             0.15789,            0.099961,            0.065877,            0.016883,            0.068431,            0.047809,            0.010578,            0.009868,            0.009868,            0.009868
                   6,            0.076574,             0.19116,             0.01032,             0.11015,            0.034289,            0.025859,           0.0068795,            0.068957,            0.056568,            0.015385,            0.009835,            0.009835,            0.009835
                   7,            0.078576,             0.15921,           0.0096444,             0.16711,            0.043618,            0.037442,           0.0097221,            0.060643,            0.056027,            0.017306,            0.009802,            0.009802,            0.009802
                   8,            0.072586,             0.14757,            0.010017,             0.19864,             0.11297,            0.080734,            0.021072,            0.056247,            0.053813,            0.012063,            0.009769,            0.009769,            0.009769
                   9,            0.072622,             0.18276,            0.008609,             0.62595,             0.03273,            0.025129,           0.0074144,            0.063682,            0.099773,            0.016642,            0.009736,            0.009736,            0.009736
                  10,            0.071509,             0.15696,           0.0075682,              0.2111,            0.043408,            0.045931,            0.010893,            0.058374,            0.067744,            0.011633,            0.009703,            0.009703,            0.009703
                  11,            0.070936,             0.17375,            0.006808,             0.14308,            0.043845,            0.034484,           0.0092411,            0.056245,             0.11188,           0.0082153,             0.00967,             0.00967,             0.00967
                  12,            0.073305,             0.14575,           0.0077088,             0.29305,             0.33334,             0.20212,            0.045701,            0.055321,            0.054806,            0.007758,            0.009637,            0.009637,            0.009637
                  13,            0.075488,             0.14337,           0.0074671,             0.28036,             0.24824,             0.16612,            0.038379,            0.063239,            0.040676,           0.0057585,            0.009604,            0.009604,            0.009604
                  14,            0.071712,             0.12369,           0.0074393,              0.3709,              0.3561,             0.27604,            0.074243,            0.054552,            0.042502,            0.008182,            0.009571,            0.009571,            0.009571
                  15,            0.071202,             0.14911,           0.0073404,             0.46545,             0.40056,             0.33159,            0.088419,            0.052582,            0.038901,           0.0055489,            0.009538,            0.009538,            0.009538
                  16,            0.072547,             0.15025,           0.0046749,             0.51775,             0.39096,             0.35094,            0.095852,            0.054814,            0.036981,           0.0046095,            0.009505,            0.009505,            0.009505
                  17,              0.0709,             0.14908,           0.0069835,             0.57151,             0.33708,             0.32817,            0.091979,            0.056749,            0.041014,           0.0057911,            0.009472,            0.009472,            0.009472
                  18,            0.070502,             0.14968,           0.0064761,             0.29464,             0.19931,             0.17318,            0.052658,            0.060776,            0.048675,           0.0099152,            0.009439,            0.009439,            0.009439
                  19,            0.071919,             0.13181,           0.0048433,             0.24484,             0.11192,             0.11181,            0.032409,            0.063129,            0.062497,            0.011394,            0.009406,            0.009406,            0.009406
                  20,            0.073465,             0.12343,           0.0057431,             0.59567,             0.36201,             0.34914,            0.095503,            0.056022,            0.040438,           0.0028119,            0.009373,            0.009373,            0.009373
                  21,            0.069998,              0.1608,           0.0041631,             0.49415,             0.33343,             0.28374,            0.077765,            0.054712,            0.044593,           0.0052971,             0.00934,             0.00934,             0.00934
                  22,            0.071462,             0.13764,            0.004377,             0.52298,               0.362,              0.3141,             0.08183,            0.054674,            0.039939,            0.003224,            0.009307,            0.009307,            0.009307
                  23,            0.070334,             0.12578,           0.0042515,             0.52396,             0.40484,             0.34004,            0.095808,            0.053961,            0.040133,           0.0038899,            0.009274,            0.009274,            0.009274
                  24,            0.068405,             0.12053,           0.0043194,             0.41102,             0.35038,             0.28856,            0.073332,            0.054622,            0.041054,           0.0061358,            0.009241,            0.009241,            0.009241
                  25,            0.066764,             0.15387,           0.0041008,             0.26518,            0.076937,            0.071161,             0.01916,            0.051354,            0.043197,           0.0024801,            0.009208,            0.009208,            0.009208
                  26,            0.065638,             0.16893,           0.0034957,             0.49531,             0.45132,             0.39713,             0.11942,            0.050421,            0.039075,           0.0054396,            0.009175,            0.009175,            0.009175
                  27,            0.066505,             0.13901,           0.0043697,             0.48198,             0.36191,             0.34974,             0.10434,            0.051424,            0.038807,           0.0048581,            0.009142,            0.009142,            0.009142
                  28,            0.064601,             0.14807,           0.0038985,             0.49204,             0.42333,             0.36725,             0.11038,            0.050971,            0.040082,            0.004128,            0.009109,            0.009109,            0.009109
                  29,            0.064409,             0.14478,             0.00258,             0.47159,             0.36168,             0.34344,             0.10643,            0.051533,            0.038991,            0.012449,            0.009076,            0.009076,            0.009076
                  30,            0.065687,             0.14585,           0.0028978,             0.60945,             0.44672,             0.38628,             0.10555,            0.050541,            0.038415,           0.0025258,            0.009043,            0.009043,            0.009043
                  31,            0.068513,              0.1363,           0.0027248,             0.60583,             0.44384,             0.41741,             0.12093,            0.048791,            0.037628,           0.0018371,             0.00901,             0.00901,             0.00901
                  32,             0.06553,             0.15986,           0.0025051,             0.57769,             0.41609,              0.3744,             0.11311,            0.048637,            0.041422,            0.003543,            0.008977,            0.008977,            0.008977
                  33,            0.068314,             0.12446,           0.0023107,             0.63122,             0.41769,             0.39756,             0.12294,            0.049985,            0.040364,           0.0014555,            0.008944,            0.008944,            0.008944
                  34,            0.066711,             0.14008,           0.0028542,             0.52732,              0.3515,             0.32112,             0.10452,             0.05317,            0.041083,           0.0085765,            0.008911,            0.008911,            0.008911
                  35,            0.067478,             0.16009,            0.002179,             0.49059,             0.41461,             0.36286,            0.098643,            0.049139,             0.03865,           0.0041523,            0.008878,            0.008878,            0.008878
                  36,             0.06746,              0.1358,           0.0016932,             0.54413,             0.40489,               0.386,             0.11272,            0.049867,            0.037489,            0.003801,            0.008845,            0.008845,            0.008845
                  37,            0.065893,             0.15551,           0.0017788,             0.62749,             0.46039,             0.42022,             0.11948,            0.049763,            0.039632,           0.0014111,            0.008812,            0.008812,            0.008812
